Age,Monthly_Salary,Years_at_Company,Work_Life_Balance,Job_Involvement,Overtime,Hours_Worked_Per_Week,Distance_from_Home,Attrition
34,154817,4,1,3,0,71,52,1
25,130612,33,1,4,0,66,25,0
52,64837,27,2,2,1,36,11,1
52,181866,7,3,3,0,74,40,0
50,172270,20,2,4,0,49,36,0
22,140791,23,3,1,0,36,3,0
59,164561,23,2,2,1,34,44,1
56,70557,12,3,4,0,46,37,0
58,42474,14,2,3,0,62,21,0
45,76439,24,4,1,0,57,5,0
24,88213,27,4,3,0,42,2,0
26,75296,38,2,3,0,47,30,0
25,185584,7,3,3,0,42,59,0
29,96711,30,4,2,0,56,11,0
51,127727,6,4,2,0,50,40,0
50,21177,38,4,4,0,75,10,0
40,20761,16,4,2,0,78,30,0
41,26458,34,2,3,0,73,28,0
54,74775,21,4,3,1,56,36,0
52,171182,6,4,3,0,77,37,0
61,113789,9,2,4,0,79,11,0
57,146048,27,3,3,0,73,1,0
39,138249,38,2,2,1,54,55,1
44,48433,28,3,4,1,58,21,0
52,92715,34,2,3,1,45,26,0
18,34849,21,2,2,0,76,26,1
52,89980,8,3,3,0,67,12,0
54,88500,35,4,2,1,32,13,0
64,193062,7,2,3,1,69,16,1
31,79891,29,4,4,0,32,20,0
20,79866,29,2,1,0,57,39,1
18,191064,30,4,2,0,32,57,0
22,143469,21,4,3,0,76,13,0
43,96008,30,1,1,1,41,28,1
31,23101,39,2,2,0,46,53,1
56,46990,27,3,3,1,44,12,0
44,89214,4,4,4,0,51,20,0
26,54611,16,4,3,0,74,16,0
32,116265,10,4,2,0,43,13,0
32,35958,21,4,2,1,35,3,0
43,109786,24,3,4,0,74,6,0
59,87002,12,3,4,0,43,59,0
30,69887,35,3,3,0,64,8,0
49,20339,10,3,2,0,41,55,0
56,130083,4,3,2,0,72,51,1
49,70528,13,4,3,0,71,7,0
21,106639,21,2,2,0,68,13,1
47,102624,2,3,2,0,63,44,1
54,89260,34,1,3,0,47,56,0
40,126493,31,3,3,1,50,44,0
56,73570,37,4,2,0,76,52,1
62,41643,39,3,2,0,43,56,0
32,80252,23,4,3,1,60,32,0
60,111580,27,4,2,0,58,23,0
46,161406,20,2,4,0,30,5,0
53,118856,32,2,2,0,31,43,1
30,121795,27,1,2,0,69,28,1
49,82977,38,3,4,0,51,44,0
24,20789,35,4,3,0,54,22,0
39,53941,9,2,3,0,37,53,0
45,20552,36,3,2,1,68,10,1
19,39806,39,4,2,1,50,16,0
59,56979,24,3,2,0,64,56,1
62,159895,16,4,2,0,66,52,1
23,51980,3,4,4,1,77,10,0
45,20860,9,1,4,0,74,36,1
45,20290,24,4,3,1,76,55,1
61,62417,31,3,2,0,73,57,1
61,99880,7,4,2,0,69,33,1
37,156942,11,2,1,0,43,57,1
47,53397,20,4,2,0,49,39,0
28,125311,26,2,1,0,47,15,0
45,36186,29,3,4,0,39,35,0
42,135162,9,2,3,0,34,43,0
56,172088,20,2,3,1,34,37,1
50,89616,0,3,1,1,50,15,1
18,98508,8,4,3,0,39,4,0
44,87296,2,3,3,0,47,7,0
30,162346,18,4,4,0,70,52,0
58,43304,5,2,3,0,69,31,1
20,116161,6,4,3,0,35,27,0
56,198770,15,1,3,1,47,16,0
23,34705,35,3,1,1,33,29,0
25,187401,3,3,2,1,62,37,1
44,72996,17,2,2,0,34,9,0
26,30607,31,3,3,0,57,48,0
54,50006,31,2,4,0,37,58,0
50,98554,17,3,3,0,56,2,0
59,136196,38,4,3,0,59,21,0
61,171566,36,3,3,0,35,41,0
41,172309,27,4,3,0,44,2,0
32,60963,38,2,2,0,37,41,1
49,181613,1,4,1,1,51,16,1
49,23447,36,3,2,1,31,44,1
41,47156,36,4,2,1,62,32,1
58,187631,1,3,3,0,71,29,0
29,172537,18,4,3,0,46,51,0
56,62120,4,3,1,1,76,31,1
19,102753,12,3,3,0,34,13,0
20,30190,21,1,2,0,73,16,1
54,83394,6,3,2,1,32,14,0
34,25335,1,3,2,0,37,34,1
19,176850,13,4,2,1,39,30,0
19,169631,24,4,4,0,79,36,0
45,193413,25,1,2,1,55,23,1
40,40557,4,2,3,1,58,10,0
54,121092,19,3,3,1,45,58,0
49,194853,11,3,4,1,52,11,0
50,117074,35,2,1,0,37,50,1
18,40575,30,3,3,0,40,53,0
36,92848,16,2,2,1,56,53,1
19,133216,15,3,4,0,40,46,0
61,24616,9,2,2,0,67,28,1
43,184835,34,4,3,1,75,40,1
49,53124,32,1,3,0,41,11,0
23,153662,37,3,3,1,77,18,0
49,181942,34,3,2,0,60,38,0
21,29534,26,2,2,1,57,52,1
28,27921,6,1,2,0,79,4,1
34,152763,26,1,3,0,76,33,1
55,62042,11,2,1,1,45,16,1
41,71209,32,2,3,0,48,59,0
22,73603,12,4,1,0,47,30,0
51,64377,1,3,3,0,76,34,1
23,59705,2,1,2,0,52,1,1
39,116492,10,2,3,0,43,37,0
28,169836,4,3,2,1,44,22,0
33,35783,1,3,2,0,79,43,1
50,28515,27,1,3,0,30,14,0
26,153142,12,2,3,0,40,27,0
23,102850,34,2,3,0,78,29,0
33,164843,39,4,3,0,73,9,0
46,116776,12,2,4,0,42,23,0
20,84206,11,2,3,0,61,51,1
37,103364,17,3,3,1,73,28,0
53,130532,17,4,1,0,42,25,0
36,138090,16,3,2,0,68,26,0
43,40936,38,1,3,0,31,14,0
20,111618,21,2,2,0,45,57,1
36,168977,12,4,3,0,68,39,0
37,154170,37,4,3,1,70,17,0
49,47020,18,4,2,1,44,38,1
24,142043,23,3,4,0,31,2,0
58,30985,18,3,3,1,76,5,0
50,159355,20,2,2,0,54,39,1
57,149100,23,3,3,0,51,14,0
56,139635,29,3,3,1,58,4,0
35,66323,27,3,4,0,68,54,0
57,57708,34,2,2,0,63,5,1
18,90298,37,4,3,0,59,36,0
28,120057,16,3,4,1,75,9,0
45,25054,33,4,3,0,68,40,0
42,139580,8,3,3,0,60,44,0
40,91317,12,1,4,1,52,9,0
48,83304,13,4,3,0,30,36,0
47,36471,25,4,1,0,36,33,0
59,121266,20,2,3,0,69,27,0
52,145022,19,3,3,0,30,15,0
24,190750,10,4,3,0,55,57,0
33,46527,34,3,2,0,42,27,0
43,63250,30,2,3,1,62,51,1
19,139917,17,3,3,0,35,9,0
18,32029,13,3,3,1,73,48,1
29,61583,4,3,3,0,34,36,0
22,122061,16,3,3,0,71,48,0
54,123100,20,4,3,0,62,13,0
49,88147,13,2,3,0,48,1,0
26,159425,2,1,1,0,43,45,1
58,63042,30,2,4,0,75,44,1
52,113125,24,4,3,0,64,56,0
36,192068,16,2,2,0,55,2,0
33,96604,25,3,2,0,60,17,0
20,75918,16,4,1,1,66,19,1
37,142225,18,2,3,1,48,59,1
41,88882,26,3,3,0,33,55,0
50,56822,6,3,2,0,63,56,1
41,68760,25,1,2,1,55,3,1
28,24200,4,2,2,1,35,55,1
25,67259,1,4,3,0,37,46,0
53,28527,15,4,2,0,78,29,0
55,30535,10,4,3,1,34,19,0
57,169016,38,3,2,1,66,21,1
37,191362,22,3,4,1,53,7,0
52,131477,34,4,3,0,32,48,0
42,32438,5,3,4,0,35,26,0
52,84344,36,4,4,0,69,7,0
42,140127,0,3,2,1,62,22,1
46,90388,32,3,3,1,42,25,0
35,92249,17,3,2,0,67,33,1
63,81083,2,4,3,0,76,59,1
35,51354,18,4,3,0,46,29,0
19,144365,9,2,3,0,77,20,0
52,169865,19,1,3,0,68,33,1
33,188138,10,3,2,0,79,41,1
58,91135,31,3,4,0,65,14,0
53,183843,39,4,2,1,41,51,1
50,164512,19,2,2,1,60,50,1
21,31289,31,4,2,0,33,42,0
50,129344,36,3,4,0,72,55,0
31,131568,21,4,3,0,55,21,0
38,69178,3,4,2,1,42,18,0
37,86500,12,4,2,0,70,5,0
25,137784,5,3,2,0,75,57,1
24,69223,28,4,3,1,79,17,0
20,189441,1,4,3,0,38,43,0
34,165256,24,3,2,1,42,6,0
50,88483,31,3,2,1,72,56,1
29,139178,25,4,3,0,73,21,0
39,164228,25,1,3,1,35,33,1
39,153483,37,4,3,0,61,59,0
63,35674,21,3,3,0,79,28,0
47,159380,9,2,3,0,53,27,0
55,128707,22,3,3,0,65,38,0
55,88460,3,3,4,1,49,21,0
62,20576,15,2,3,1,36,8,0
25,165713,32,3,2,1,38,5,0
44,118264,12,4,4,1,51,51,0
44,70907,12,4,1,1,63,13,1
51,192211,32,3,4,0,36,38,0
38,104325,13,3,2,0,72,41,1
47,59651,7,3,3,1,43,36,0
50,113435,25,1,4,1,43,22,0
45,166730,21,4,2,0,47,10,0
64,58907,0,4,4,0,70,50,1
50,83917,15,2,3,1,47,8,0
22,182819,28,3,3,0,50,14,0
36,74936,22,1,2,1,53,15,1
21,46178,4,2,2,0,66,42,1
52,150614,20,2,3,0,61,54,1
34,119423,35,2,2,1,47,53,1
61,28000,19,3,3,0,36,2,0
45,159137,7,4,3,0,45,20,0
47,128407,25,2,1,0,58,29,0
46,152157,24,4,3,0,39,50,0
63,69325,6,1,3,1,66,34,1
23,131868,21,1,2,0,68,4,1
52,168694,32,3,4,1,51,19,0
58,146190,4,3,3,0,43,24,0
54,83902,37,3,3,1,44,52,0
41,24834,11,3,2,0,55,15,0
46,105733,13,4,3,1,30,14,0
63,32008,6,4,1,1,41,14,0
48,98498,27,1,3,1,76,5,1
52,67229,15,1,3,1,52,58,1
50,132892,1,1,3,0,72,45,1
38,159084,30,1,4,1,36,30,0
49,71125,35,4,3,0,47,18,0
40,105702,13,1,3,0,69,47,1
50,104164,27,4,3,0,54,3,0
20,160921,31,4,3,1,57,1,0
35,192444,27,4,4,0,33,46,0
42,33767,11,1,2,0,75,25,1
59,191061,12,4,3,0,52,47,0
48,191654,21,4,1,0,63,52,1
20,195442,28,4,3,1,31,29,0
57,65052,29,3,4,1,43,22,0
63,119427,14,3,3,1,41,54,0
41,196361,39,4,2,0,31,16,0
49,150591,3,3,3,0,68,37,0
64,172637,32,3,4,1,66,5,0
39,120547,8,4,3,0,61,40,0
40,88125,37,1,3,1,50,45,1
19,70281,15,3,2,1,68,51,1
44,95285,25,3,4,0,75,47,0
59,43423,26,3,2,1,56,31,1
19,104693,10,3,4,1,68,45,1
43,108860,25,2,2,0,66,3,1
34,21706,13,2,2,1,72,14,1
57,71753,0,1,3,0,50,20,0
50,113755,10,4,3,1,45,48,0
26,61334,29,3,2,1,76,26,1
60,87148,23,1,3,0,36,42,0
56,122601,3,3,1,0,77,33,1
46,70627,21,3,1,0,54,7,0
59,35546,7,2,2,0,43,35,1
43,199807,15,4,2,0,40,5,0
52,94581,32,4,3,1,40,3,0
42,176371,32,3,1,0,72,38,1
41,63347,9,3,3,0,43,22,0
30,61221,1,3,4,0,68,19,0
24,191848,3,3,3,1,65,34,1
53,118203,22,4,2,1,70,11,1
62,35948,26,4,2,0,64,55,1
37,45118,32,3,3,1,38,24,0
18,123729,32,2,2,0,31,13,0
25,146677,19,4,4,1,64,43,1
63,37021,12,3,2,0,47,7,0
33,68215,10,3,1,0,31,54,0
31,21223,18,2,3,0,43,45,0
29,187182,31,2,3,1,33,41,1
40,110162,2,1,4,0,77,11,1
32,116453,12,3,4,1,46,19,0
45,41526,27,3,2,0,72,8,0
51,58829,21,3,3,1,58,26,0
19,71862,18,2,4,0,57,18,0
49,147048,30,4,4,0,77,2,0
40,171408,19,4,3,1,36,9,0
39,50796,23,3,3,0,46,48,0
42,178239,31,3,4,0,58,21,0
39,36818,8,4,3,0,61,21,0
39,189964,18,4,2,0,40,50,0
59,44488,22,3,1,0,77,11,0
23,189024,24,4,2,1,64,52,1
32,103904,32,3,3,0,65,27,0
60,164295,1,2,3,0,78,46,1
54,116931,2,4,2,0,51,41,1
50,181333,27,4,2,0,34,56,0
25,95520,36,4,2,0,71,35,1
61,88334,34,4,2,1,62,39,1
61,158675,13,3,3,0,37,50,0
22,131587,23,4,3,1,36,12,0
56,97240,36,4,4,0,36,8,0
21,54261,2,3,3,0,59,55,0
23,137367,22,3,2,0,71,58,1
62,35707,33,3,3,0,76,39,0
49,38009,8,1,4,1,35,24,0
47,72169,17,3,2,0,60,7,0
64,38231,1,1,3,1,75,32,1
52,23246,21,3,4,0,51,57,0
57,49825,34,1,2,0,42,31,1
33,166997,30,3,3,0,35,10,0
30,21316,25,3,3,0,71,41,0
59,103870,13,4,2,0,79,24,0
47,116608,27,3,3,1,43,16,0
36,134911,10,3,4,0,32,56,0
34,153098,31,4,1,0,57,52,0
36,35289,20,3,4,0,52,58,0
45,122082,22,2,1,0,68,25,1
43,68886,23,2,3,0,64,43,1
54,85020,11,3,1,0,64,10,0
43,59279,2,2,3,0,39,32,1
40,126061,5,4,2,0,54,20,0
26,105643,11,4,4,0,61,6,0
29,119827,19,1,4,1,46,31,1
18,148089,5,2,3,0,57,25,0
18,178351,19,3,4,0,42,29,0
64,169428,13,1,2,1,53,38,1
51,85200,0,2,3,0,56,28,0
49,181115,19,4,3,0,44,26,0
42,115502,21,3,3,0,72,30,0
57,163867,39,4,4,1,73,29,0
62,102536,30,3,2,1,56,33,1
18,173230,30,3,2,0,77,3,0
33,199702,27,4,2,0,30,22,0
56,39005,11,3,1,1,64,39,1
22,130737,15,3,3,0,59,2,0
39,104013,32,3,2,0,49,41,0
46,191324,34,3,1,0,65,54,1
20,65176,3,4,4,0,45,59,0
29,135754,9,4,3,0,34,59,0
43,151777,33,4,3,0,33,37,0
33,71510,2,3,3,0,77,6,0
54,66293,30,1,2,0,43,12,0
39,138222,30,3,3,0,34,19,0
46,146947,0,3,3,1,39,40,1
31,64420,4,1,3,0,70,47,1
45,171224,4,4,3,0,77,23,0
22,117391,1,1,1,0,75,28,1
64,79278,14,3,3,0,40,20,0
47,80216,0,4,1,0,51,1,0
63,93699,20,3,4,0,42,42,0
22,20209,36,3,4,0,70,25,0
29,155906,6,3,1,0,76,50,1
33,182584,10,2,2,0,67,3,1
43,82485,25,4,3,0,54,58,0
43,89498,1,2,1,0,40,22,1
38,164100,29,1,4,1,45,35,1
56,71542,13,3,4,1,57,53,0
53,172975,4,4,2,0,76,40,1
50,162789,30,3,4,0,50,9,0
47,50545,31,2,3,0,38,37,0
54,55212,33,4,3,0,35,29,0
40,129079,9,1,3,1,47,14,0
27,61100,30,3,2,0,58,45,0
22,147215,26,3,3,0,55,26,0
53,72016,17,4,3,0,67,29,0
51,186447,4,3,2,0,76,31,1
48,171392,16,4,3,0,45,18,0
27,39301,10,2,2,0,37,48,1
36,103717,4,3,3,1,75,18,0
49,29168,37,3,3,0,57,27,0
18,88109,36,2,4,0,52,50,0
22,38973,20,1,1,0,72,43,1
62,187123,23,4,3,0,77,4,0
21,193831,29,3,4,0,60,9,0
33,113059,15,3,2,0,32,42,0
41,119017,21,2,3,0,45,42,0
33,171023,1,4,1,0,42,46,1
19,182377,18,3,3,0,34,29,0
45,101115,36,2,2,0,53,2,0
49,95406,1,3,1,0,38,20,0
44,29109,10,4,3,0,44,59,0
37,46842,32,3,2,0,35,14,0
41,161788,8,4,3,0,53,54,0
29,199657,24,4,4,0,73,55,0
52,117969,5,4,2,0,66,4,0
50,127055,10,3,4,0,63,14,0
50,66408,26,4,2,0,31,37,0
60,128407,7,2,3,1,34,38,1
54,56530,30,3,3,0,57,2,0
29,130047,26,1,3,0,70,37,1
20,79730,4,2,3,1,73,15,1
18,95623,14,3,4,1,61,40,1
50,97658,1,3,3,1,47,6,0
57,50898,14,2,2,0,70,26,1
27,83908,30,1,3,1,72,58,1
60,101377,19,3,3,0,30,49,0
61,111118,2,3,4,0,61,7,0
46,77392,38,3,1,0,58,25,0
30,95578,9,2,3,0,49,5,0
29,46505,25,4,3,1,34,17,0
48,108830,9,3,2,1,38,42,1
63,157245,39,3,1,0,52,49,0
19,104052,12,3,1,0,72,56,1
52,26932,20,3,4,1,59,6,0
40,103445,33,3,1,0,62,23,0
34,181313,31,2,1,0,44,12,0
43,167784,8,4,2,0,75,20,0
25,49105,29,2,4,0,49,44,0
46,127083,0,3,3,0,78,36,1
43,50382,11,3,3,0,76,37,0
27,107892,34,4,4,0,32,39,0
43,39589,23,1,3,1,54,17,0
51,190673,39,3,4,0,31,43,0
58,140829,9,4,1,0,36,21,0
24,109452,23,2,4,0,70,23,0
21,191747,17,2,4,1,62,48,1
62,185438,7,3,4,0,30,51,0
28,154923,12,2,2,0,53,47,1
46,158654,15,4,1,0,61,35,1
53,191663,13,4,4,1,44,31,0
42,156579,8,2,2,0,30,20,0
38,157006,8,3,2,0,66,25,0
53,61971,4,1,3,0,62,24,0
27,24659,10,4,2,1,44,26,0
54,24398,18,2,3,1,52,7,0
26,26242,37,4,3,0,49,26,0
41,179692,9,2,3,0,37,45,0
52,161868,15,3,1,0,73,59,1
52,198217,28,4,2,1,44,33,1
53,150014,4,1,4,0,75,2,0
35,198615,17,2,1,0,36,49,1
56,71175,34,4,3,0,60,6,0
49,188347,35,3,2,0,78,2,0
41,33937,21,3,3,0,46,49,0
40,170641,23,4,3,1,31,42,0
49,32343,11,4,3,0,56,11,0
54,76875,38,3,4,0,36,39,0
29,66803,11,3,3,1,67,18,0
30,79937,34,3,3,0,73,48,0
40,97069,18,2,3,0,58,26,0
42,182204,36,4,3,1,43,54,0
52,182428,13,1,3,1,69,52,1
58,35438,22,2,2,0,77,51,1
47,177438,39,4,3,0,31,5,0
34,99504,21,2,1,0,78,31,1
37,37490,10,2,4,0,71,47,1
42,170245,1,3,3,1,51,49,1
39,161448,9,4,3,1,62,50,1
30,86254,4,3,3,0,74,6,0
36,125380,29,4,1,0,67,10,0
53,56763,20,2,4,0,30,12,0
29,85841,32,2,3,1,30,6,0
58,61347,24,1,3,1,56,20,0
36,61684,6,2,3,0,45,1,0
29,50711,39,2,3,0,48,19,0
26,34177,27,3,3,0,33,22,0
24,197042,15,4,4,0,31,37,0
45,175642,36,4,2,0,36,52,0
31,186436,2,4,3,0,73,59,1
48,198681,18,4,2,0,76,45,1
36,169891,11,2,2,0,47,31,1
64,145220,18,2,2,0,45,53,1
33,51391,10,4,1,1,68,50,1
22,35788,2,3,2,0,44,5,0
52,71055,1,2,2,0,37,46,1
29,134187,25,4,2,1,38,3,0
42,138071,21,3,3,0,47,40,0
38,174637,16,4,2,0,63,31,1
53,150101,33,1,2,0,55,20,0
40,106462,14,1,2,0,70,35,1
33,33376,11,3,3,0,66,53,0
56,172947,15,2,1,0,40,40,1
62,67606,15,4,3,0,68,17,0
59,98393,38,4,2,1,31,17,0
56,82996,5,3,4,0,59,43,0
31,21283,7,4,1,1,57,4,0
48,100456,24,2,2,0,42,38,1
22,85783,18,3,2,0,44,53,0
52,116382,18,1,3,0,56,52,0
40,92178,11,3,4,1,52,7,0
46,37365,8,1,3,0,58,2,0
60,132255,28,3,3,0,30,15,0
28,169021,26,3,4,0,69,51,0
35,136829,4,3,3,0,41,2,0
64,184575,25,3,2,0,36,27,0
29,146267,29,3,2,1,37,35,1
26,96387,13,2,3,0,36,23,0
27,99942,32,2,4,0,50,8,0
61,166000,34,3,2,1,74,5,1
34,167904,10,3,4,0,56,44,0
55,158606,3,2,2,0,70,28,1
24,152907,32,4,1,0,51,28,0
63,90251,5,4,3,1,50,58,0
30,184453,27,3,2,0,48,57,0
57,74780,9,3,3,1,75,12,0
59,86412,35,4,2,1,67,55,1
26,160397,25,4,2,0,63,30,0
44,180518,29,4,3,1,76,43,1
19,118975,21,4,4,0,32,22,0
22,149788,4,4,2,0,32,57,0
46,80662,1,3,1,0,33,7,0
54,118664,32,3,3,0,73,17,0
55,100249,15,4,4,0,57,9,0
36,76525,6,1,2,1,66,31,1
25,161656,20,2,3,0,69,53,1
62,154973,34,4,4,0,57,3,0
18,133094,21,3,3,0,76,7,0
39,76203,21,4,3,0,71,49,0
34,107597,5,2,2,1,41,34,1
24,22090,32,4,3,1,67,44,1
42,177924,38,2,4,1,79,11,1
62,42454,24,2,3,1,78,37,1
21,75084,17,3,2,0,79,38,1
53,117103,34,4,3,0,40,57,0
23,184895,23,1,4,1,30,38,1
48,183079,39,2,2,0,33,11,0
36,124560,39,4,3,1,75,25,0
61,165213,22,1,3,0,79,29,0
56,32746,32,2,2,0,61,32,1
44,23347,28,3,3,0,34,42,0
27,160433,9,4,3,0,33,53,0
43,131972,14,4,2,1,74,54,1
36,24101,9,3,3,1,78,34,1
56,125811,25,3,3,1,72,22,0
20,68095,39,4,1,1,77,19,1
62,192525,28,2,3,0,62,50,1
30,121483,33,3,2,0,44,55,0
45,183740,17,3,2,1,37,15,0
37,140902,1,4,4,0,62,1,0
45,37747,24,4,2,0,79,30,0
25,166081,20,3,2,1,49,46,1
58,109187,30,3,4,0,54,6,0
56,152128,21,4,3,1,63,14,0
18,183982,8,4,3,1,38,46,0
20,172287,26,3,4,1,73,11,0
30,50375,24,4,1,0,45,42,0
45,161148,24,3,4,0,42,16,0
42,136612,26,4,2,0,35,39,0
50,130541,9,1,2,0,39,13,0
55,186321,29,3,4,0,57,39,0
23,60664,3,2,2,0,67,53,1
61,58779,20,3,2,0,42,25,0
62,79312,29,2,3,1,79,52,1
49,199170,32,3,1,0,40,35,0
62,31414,25,4,1,1,56,29,0
64,187990,1,1,4,0,51,20,0
38,166948,22,3,3,1,55,10,0
33,143938,30,2,4,0,59,48,0
38,29198,3,3,3,0,75,7,0
28,113302,19,3,3,1,50,37,0
54,119524,24,2,3,0,38,9,0
53,188501,0,1,2,0,75,56,1
52,123170,1,1,2,0,41,41,1
36,143393,5,3,4,0,44,11,0
37,136305,6,3,2,0,47,29,0
35,140759,3,3,1,0,36,55,0
64,90148,17,3,4,1,58,27,0
58,128169,4,3,3,1,55,14,0
31,51528,24,3,4,0,51,4,0
32,161355,0,4,4,0,70,7,0
48,156025,33,3,3,1,56,19,0
18,145728,2,3,3,1,63,2,1
20,106234,16,3,2,1,74,9,1
33,79121,31,3,2,0,67,45,1
40,190891,23,3,3,1,74,20,0
28,42016,1,4,1,0,40,58,1
29,164320,0,4,3,1,51,41,1
27,140184,33,1,3,0,61,56,1
49,168348,7,4,4,0,65,36,0
33,116544,8,4,3,0,41,1,0
25,168427,27,4,4,0,47,31,0
55,199348,18,2,2,0,38,13,0
29,78451,19,3,2,0,40,44,0
41,41529,6,3,3,0,66,47,0
45,187086,34,3,2,0,47,46,0
25,140542,18,3,3,0,58,50,0
45,40096,16,4,3,0,59,16,0
53,115653,39,3,3,0,43,28,0
43,197805,17,3,3,0,63,44,0
25,23417,6,3,4,1,47,46,0
45,91981,26,3,2,1,62,23,1
45,90953,38,3,2,0,38,25,0
54,35494,29,2,4,1,73,13,1
58,131670,22,3,2,0,79,26,0
53,138839,19,1,4,1,45,37,1
44,164374,22,4,3,0,36,28,0
34,75669,25,4,3,0,32,34,0
26,187499,13,4,3,0,68,12,0
50,78263,30,3,4,0,35,8,0
37,60274,26,3,3,0,32,6,0
30,139240,8,4,3,0,44,42,0
45,179875,22,3,4,1,32,10,0
46,180236,9,3,3,1,71,3,0
30,58441,22,3,3,0,52,1,0
63,83327,9,3,3,1,30,53,0
52,120461,1,4,4,0,54,57,0
23,119099,36,3,2,1,72,44,1
35,96925,39,3,2,0,62,39,1
22,71035,37,2,3,0,33,22,0
64,129863,37,3,2,0,74,47,1
42,33490,0,4,1,0,62,30,1
19,26044,17,2,4,1,62,14,1
27,192841,34,4,3,0,30,2,0
47,47509,6,4,3,1,69,34,1
62,47844,21,2,3,0,53,34,0
22,82212,24,2,1,1,61,23,1
50,172676,22,2,2,0,74,20,1
18,178632,8,2,4,1,74,43,1
35,152278,26,2,3,0,56,21,0
49,134587,10,1,1,0,34,23,0
64,98632,26,4,3,0,72,42,0
28,180622,39,4,4,0,77,3,0
38,72232,27,2,2,1,58,57,1
43,55228,17,1,1,0,70,28,1
42,105925,35,4,4,0,57,10,0
